Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
All Livestock,2017,Eastern and Midland,Euro Million,857.5063493,987.9105406682029
All Livestock,2017,Dublin and Mid-East,Euro Million,423.2013431,487.55915103686635
All Livestock,2017,Midland,Euro Million,434.3050063,500.3513897465438
All Livestock,2018,State,Euro Million,3435.346334,3917.1565952109463
All Livestock,2018,Northern and Western,Euro Million,977.9975441,1115.1625360319272
All Livestock,2018,Border,Euro Million,542.807678,618.9369190421893
All Livestock,2018,West,Euro Million,435.1898661,496.2256169897378
All Livestock,2018,Southern,Euro Million,1639.538115,1869.4847377423034
All Livestock,2018,Mid-West,Euro Million,590.5215961,673.3427549600913
All Livestock,2018,South-East,Euro Million,489.4107538,558.0510305587229
All Livestock,2018,South-West,Euro Million,559.6057653,638.0909524515394
All Livestock,2018,Eastern and Midland,Euro Million,817.8106748,932.509321322691
All Livestock,2018,Dublin and Mid-East,Euro Million,397.0639653,452.7525259977195
All Livestock,2018,Midland,Euro Million,420.7467095,479.7567953249715
All Livestock,2019,State,Euro Million,3380.041124,3814.9448352144473
All Livestock,2019,Northern and Western,Euro Million,1007.982155,1137.6773758465013
All Livestock,2019,Border,Euro Million,580.3542153,655.0273310383748
All Livestock,2019,West,Euro Million,427.6279393,482.6500443566592
All Livestock,2019,Southern,Euro Million,1579.901929,1783.1850214446956
All Livestock,2019,Mid-West,Euro Million,565.5881523,638.3613457110611
All Livestock,2019,South-East,Euro Million,456.8805766,515.6665650112867
All Livestock,2019,South-West,Euro Million,557.4332002,629.1571108352144
All Livestock,2019,Eastern and Midland,Euro Million,792.1570399,894.0824378103838
All Livestock,2019,Dublin and Mid-East,Euro Million,377.7664004,426.3729124153499
All Livestock,2019,Midland,Euro Million,414.3906395,467.7095253950339
All Livestock,2020,State,Euro Million,3606.839299,4043.5418150224214
All Livestock,2020,Northern and Western,Euro Million,1101.746612,1235.1419417040356
All Livestock,2020,Border,Euro Million,637.2677459,714.425724103139
All Livestock,2020,West,Euro Million,464.4788659,520.7162173766816
