,Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
80,All Livestock,2017,West,Euro Million,489.4590129,563.8928720046083
81,All Livestock,2017,Southern,Euro Million,1663.34578,1916.2969815668207
82,All Livestock,2017,Mid-West,Euro Million,590.2448674,680.0056076036867
83,All Livestock,2017,South-East,Euro Million,473.9299729,546.0022729262673
84,All Livestock,2017,South-West,Euro Million,599.17094,690.2891013824885
85,All Livestock,2017,Eastern and Midland,Euro Million,857.5063493,987.9105406682029
86,All Livestock,2017,Dublin and Mid-East,Euro Million,423.2013431,487.55915103686635
87,All Livestock,2017,Midland,Euro Million,434.3050063,500.3513897465438
88,All Livestock,2018,State,Euro Million,3435.346334,3917.1565952109463
89,All Livestock,2018,Northern and Western,Euro Million,977.9975441,1115.1625360319272
90,All Livestock,2018,Border,Euro Million,542.807678,618.9369190421893
91,All Livestock,2018,West,Euro Million,435.1898661,496.2256169897378
92,All Livestock,2018,Southern,Euro Million,1639.538115,1869.4847377423034
93,All Livestock,2018,Mid-West,Euro Million,590.5215961,673.3427549600913
94,All Livestock,2018,South-East,Euro Million,489.4107538,558.0510305587229
95,All Livestock,2018,South-West,Euro Million,559.6057653,638.0909524515394
96,All Livestock,2018,Eastern and Midland,Euro Million,817.8106748,932.509321322691
97,All Livestock,2018,Dublin and Mid-East,Euro Million,397.0639653,452.7525259977195
98,All Livestock,2018,Midland,Euro Million,420.7467095,479.7567953249715
99,All Livestock,2019,State,Euro Million,3380.041124,3814.9448352144473
100,All Livestock,2019,Northern and Western,Euro Million,1007.982155,1137.6773758465013
101,All Livestock,2019,Border,Euro Million,580.3542153,655.0273310383748
102,All Livestock,2019,West,Euro Million,427.6279393,482.6500443566592
103,All Livestock,2019,Southern,Euro Million,1579.901929,1783.1850214446956
104,All Livestock,2019,Mid-West,Euro Million,565.5881523,638.3613457110611
105,All Livestock,2019,South-East,Euro Million,456.8805766,515.6665650112867
106,All Livestock,2019,South-West,Euro Million,557.4332002,629.1571108352144
107,All Livestock,2019,Eastern and Midland,Euro Million,792.1570399,894.0824378103838
108,All Livestock,2019,Dublin and Mid-East,Euro Million,377.7664004,426.3729124153499
109,All Livestock,2019,Midland,Euro Million,414.3906395,467.7095253950339
110,All Livestock,2020,State,Euro Million,3606.839299,4043.5418150224214
111,All Livestock,2020,Northern and Western,Euro Million,1101.746612,1235.1419417040356
112,All Livestock,2020,Border,Euro Million,637.2677459,714.425724103139
113,All Livestock,2020,West,Euro Million,464.4788659,520.7162173766816
114,All Livestock,2020,Southern,Euro Million,1671.015145,1873.3353643497758
115,All Livestock,2020,Mid-West,Euro Million,601.9309472,674.8104789237667
116,All Livestock,2020,South-East,Euro Million,487.6084659,546.6462622197309
117,All Livestock,2020,South-West,Euro Million,581.4757322,651.8786235426008
118,All Livestock,2020,Eastern and Midland,Euro Million,834.0775421,935.0645090807174
119,All Livestock,2020,Dublin and Mid-East,Euro Million,389.97687,437.19380044843047
120,All Livestock,2020,Midland,Euro Million,444.100672,497.8707085201793
121,All Livestock,2021,State,Euro Million,3992.818325,4363.735874316941
